iter	Passed	Remaining
403	13540	19975
404	13587	19961
405	13639	19955
406	13679	19931
407	13714	19898
408	13749	19867
409	13788	19842
410	13817	19802
411	13845	19760
412	13873	19717
413	13899	19674
414	13925	19630
415	13951	19586
416	13977	19541
417	14012	19509
418	14055	19489
419	14114	19490
420	14153	19465
421	14194	19441
422	14237	19421
423	14280	19399
424	14323	19378
425	14353	19340
426	14384	19303
427	14415	19265
428	14450	19233
429	14484	19199
430	14516	19164
431	14547	19127
432	14599	19117
433	14635	19086
434	14698	19091
435	14739	19067
436	14788	19051
437	14823	19019
438	14854	18982
439	14884	18943
440	14912	18903
441	14942	18864
442	14968	18820
443	14994	18776
444	15020	18732
445	15072	18722
446	15107	18690
447	15158	18677
448	15193	18644
449	15227	18611
450	15277	18597
451	15310	18562
452	15339	18522
453	15375	18490
454	15408	18456
455	15437	18416
456	15479	18392
457	15561	18415
458	15697	18502
459	15772	18515
460	15816	18492
461	15854	18463
462	15884	18423
463	15960	18437
464	16030	18443
465	16090	18438
466	16128	18407
467	16164	18374
468	16203	18345
469	16260	18335
470	16318	18328
471	16369	18311
472	16400	18272
473	16425	18227
474	16453	18184
475	16480	18142
476	16508	18100
477	16537	18059
478	16568	18021
479	16595	17978
480	16621	17935
481	16654	17898
482	16684	17858
483	16713	17818
484	16742	17777
485	16772	17738
486	16799	17696
487	16829	17656
488	16860	17619
489	16938	17630
490	17005	17629
491	17083	17638
492	17173	17661
493	17229	17648
494	17261	17610
495	17298	17577
496	17327	17536
497	17353	17492
498	17382	17452
499	17410	17410
500	17440	17370
501	17471	17332
502	17501	17292
503	17533	17255
504	17566	17218
505	17597	17180
506	17626	17140
507	17767	17208
508	17882	17249
509	17930	17227
510	17961	17188
511	17988	17145
512	18014	17101
513	18044	17061
514	18074	17021
515	18103	16980
516	18131	16939
517	18163	16901
518	18192	16860
519	18222	16820
520	18263	16791
521	18297	16755
522	18342	16729
523	18403	16717
524	18446	16690
525	18495	16666
526	18541	16641
527	18579	16608
528	18618	16577
529	18669	16555
530	18699	16515
531	18726	16473
532	18760	16437
533	18795	16401
534	18837	16372
535	18874	16339
536	18914	16307
537	18948	16272
538	18978	16231
539	19006	16190
540	19036	16151
541	19067	16112
542	19097	16072
543	19131	16036
544	19165	16000
545	19196	15961
546	19229	15924
547	19257	15883
548	19291	15847
549	19320	15807
550	19354	15771
551	19391	15737
552	19423	15700
553	19453	15661
554	19485	15623
555	19512	15582
556	19538	15539
557	19567	15499
558	19595	15459
559	19622	15417
560	19654	15380
561	19685	15341
562	19715	15302
563	19744	15263
564	19788	15235
565	19825	15201
566	19995	15269
567	20063	15259
568	20135	15251
569	20199	15238
570	20232	15200
571	20271	15168
572	20318	15141
573	20369	15117
574	20419	15092
575	20465	15064
576	20535	15054
577	20579	15025
578	20631	15001
579	20686	14980
580	20721	14943
581	20755	14906
582	20781	14864
583	20810	14824
584	20841	14784
585	20870	14744
586	20905	14708
587	20953	14681
588	20997	14651
589	21039	14620
590	21079	14587
591	21115	14552
592	21147	14514
593	21177	14474
594	21206	14434
595	21235	14394
596	21271	14359
597	21298	14317
598	21326	14276
599	21360	14240
600	21389	14200
601	21418	14160
602	21447	14120
603	21479	14082
604	21510	14043
605	21537	14002
606	21566	13962
607	21600	13926
608	21651	13901
609	21696	13871
610	21749	13846
611	21789	13814
612	21824	13778
613	21855	13739
614	21883	13699
615	21909	13657
616	21935	13616
617	21961	13574
618	22154	13636
619	22228	13623
620	22277	13595
621	22307	13556
622	22338	13517
623	22368	13478
624	22396	13437
625	22423	13396
626	22450	13355
627	22477	13314
628	22504	13273
629	22531	13233
630	22558	13191
631	22584	13150
632	22612	13110
633	22657	13080
634	22706	13051
635	22749	13020
636	22816	13002
637	22848	12964
638	22884	12928
639	22917	12891
640	22949	12853
641	22977	12812
642	23017	12779
643	23057	12746
644	23103	12715
645	23145	12683
646	23177	12645
647	23205	12605
648	23239	12568
649	23275	12533
650	23315	12499
651	23343	12459
652	23373	12420
653	23401	12380
654	23440	12346
655	23482	12313
656	23512	12275
657	23541	12235
658	23570	12196
659	23600	12157
660	23629	12118
661	23658	12079
662	23693	12043
663	23725	12005
664	23760	11969
665	23792	11931
666	23822	11893
667	23854	11855
668	23886	11818
669	23917	11780
670	23950	11743
671	23987	11708
672	24020	11671
673	24052	11633
674	24081	11594
675	24109	11555
676	24199	11545
677	24338	11559
678	24386	11529
679	24430	11496
680	24462	11458
681	24493	11420
682	24519	11380
683	24548	11341
684	24574	11300
685	24605	11262
686	24638	11225
687	24667	11186
688	24697	11147
689	24726	11109
690	24754	11069
691	24780	11029
692	24825	10997
693	24876	10968
694	24921	10936
695	24970	10906
696	25010	10872
697	25043	10835
698	25074	10797
699	25102	10758
700	25130	10718
701	25156	10679
702	25190	10642
703	25217	10602
704	25251	10566
705	25277	10526
706	25313	10490
707	25346	10453
708	25373	10414
709	25406	10377
710	25435	10338
711	25467	10301
712	25497	10263
713	25527	10225
714	25557	10187
715	25585	10148
716	25613	10109
717	25641	10070
718	25669	10032
719	25697	9993
720	25727	9955
721	25783	9927
722	25842	9900
723	25906	9875
724	25944	9840
725	25975	9803
726	26009	9766
727	26044	9730
728	26074	9692
729	26103	9654
730	26132	9616
731	26164	9579
732	26193	9541
733	26227	9504
734	26254	9465
735	26285	9428
736	26458	9441
737	26547	9424
738	26596	9393
739	26643	9361
740	26696	9331
741	26732	9295
742	26760	9256
743	26790	9218
744	26816	9178
745	26843	9139
746	26869	9100
747	26899	9062
748	26926	9023
749	26955	8985
750	26983	8946
751	27015	8909
752	27048	8872
753	27102	8842
754	27163	8814
755	27228	8787
756	27261	8751
757	27291	8713
758	27318	8674
759	27344	8635
760	27369	8595
761	27394	8556
762	27423	8518
763	27451	8479
764	27481	8442
765	27511	8404
766	27550	8369
767	27580	8331
768	27609	8293
769	27643	8257
770	27681	8221
771	27713	8184
772	27748	8148
773	27777	8110
774	27807	8073
775	27835	8035
776	27866	7997
777	27894	7959
778	27920	7920
779	27947	7882
780	27973	7844
781	28006	7807
782	28038	7770
783	28066	7732
784	28091	7693
785	28118	7655
786	28145	7617
787	28181	7581
788	28215	7545
789	28242	7507
790	28270	7469
791	28297	7431
792	28327	7394
793	28354	7356
794	28383	7318
795	28413	7281
796	28441	7244
797	28470	7206
798	28615	7198
799	28756	7189
800	28829	7162
801	28875	7128
802	28916	7094
803	28955	7058
804	28992	7022
805	29043	6990
806	29079	6954
807	29112	6917
808	29137	6879
809	29162	6840
810	29190	6802
811	29228	6767
812	29283	6735
813	29328	6701
814	29368	6666
815	29415	6632
816	29444	6595
817	29471	6557
818	29497	6519
819	29526	6481
820	29553	6443
821	29580	6405
822	29606	6367
823	29633	6329
824	29669	6293
825	29701	6256
826	29733	6220
827	29759	6182
828	29785	6143
829	29810	6105
830	29836	6067
831	29863	6030
832	29889	5992
833	29915	5954
834	29942	5916
835	29984	5882
836	30012	5844
837	30044	5808
838	30074	5771
839	30101	5733
840	30131	5696
841	30173	5661
842	30226	5629
843	30257	5592
844	30290	5556
845	30320	5519
846	30350	5482
847	30379	5445
848	30410	5408
849	30438	5371
850	30464	5334
851	30492	5296
852	30526	5260
853	30584	5228
854	30633	5195
855	30674	5160
856	30948	5164
857	31146	5154
858	31215	5123
859	31264	5089
860	31316	5055
861	31348	5018
862	31382	4981
863	31416	4945
864	31446	4907
865	31476	4870
866	31523	4835
867	31622	4808
868	31714	4780
869	31795	4751
870	31849	4717
871	31891	4681
872	31931	4645
873	32006	4614
874	32093	4584
875	32178	4554
876	32270	4525
877	32324	4491
878	32358	4454
879	32392	4417
880	32422	4379
881	32452	4341
882	32480	4303
883	32509	4265
884	32536	4227
885	32570	4190
886	32596	4152
887	32623	4114
888	32659	4077
889	32689	4040
890	32719	4002
891	32746	3964
892	32773	3926
893	32800	3889
894	32826	3851
895	32855	3813
896	32880	3775
897	32908	3737
898	32939	3700
899	32968	3663
900	33002	3626
901	33047	3590
902	33262	3573
903	33444	3551
904	33498	3516
905	33540	3479
906	33570	3442
907	33599	3404
908	33627	3366
909	33653	3328
910	33681	3290
911	33711	3252
912	33738	3214
913	33767	3177
914	33802	3140
915	33852	3104
916	33946	3072
917	34001	3037
918	34046	3000
919	34085	2963
920	34145	2928
921	34229	2895
922	34322	2863
923	34403	2829
924	34435	2792
925	34468	2754
926	34499	2716
927	34527	2678
928	34564	2641
929	34598	2604
930	34630	2566
931	34658	2528
932	34688	2491
933	34720	2453
934	34752	2415
935	34783	2378
936	34815	2340
937	34843	2303
938	34870	2265
939	34900	2227
940	34929	2190
941	34960	2152
942	34991	2115
943	35023	2077
944	35054	2040
945	35084	2002
946	35111	1965
947	35137	1927
948	35164	1889
949	35195	1852
950	35221	1814
951	35255	1777
952	35287	1740
953	35314	1702
954	35342	1665
955	35372	1628
956	35431	1591
957	35835	1571
958	35924	1535
959	35994	1499
960	36037	1462
961	36075	1425
962	36113	1387
963	36151	1350
964	36202	1313
965	36255	1276
966	36281	1238
967	36307	1200
968	36334	1162
969	36361	1124
970	36387	1086
971	36419	1049
972	36483	1012
973	36523	974
974	36582	938
975	36629	900
976	36661	863
977	36696	825
978	36726	787
979	36752	750
980	36780	712
981	36806	674
982	36833	636
983	36861	599
984	36887	561
985	36915	524
986	36940	486
987	36968	449
988	36995	411
989	37023	373
990	37049	336
991	37078	299
992	37116	261
993	37150	224
994	37190	186
995	37230	149
996	37264	112
997	37295	74
998	37327	37
999	37358	0
